question,label
계산할게요,S-PAY
계산할래요,S-PAY
결제할래요,S-PAY
그냥 결제할게요,O S-PAY
그냥 계산할게요,O S-PAY
결제할게요,S-PAY
계산할게요,S-PAY
계산할래요,S-PAY
결제할래요,S-PAY
결제할게,S-PAY
계산할게,S-PAY
응 결제할게,O S-PAY
응 계산할게,O S-PAY
아니 계산할게,O S-PAY
아니 결제할게,O S-PAY
결제해주세요,S-PAY
결제 해 주세요,S-PAY O O
결제 해주세요,S-PAY O
계산해주세요,S-PAY
계산 해 주세요,S-PAY O O
계산 해주세요,S-PAY O
계산좀,S-PAY
계산좀요,S-PAY
계산 좀,S-PAY O
계산 좀 해줘요,S-PAY O O
계산 좀 해주세요,S-PAY O O
결제좀,S-PAY
결제좀요,S-PAY
결제 좀 해줘요,S-PAY O O
결제 좀,S-PAY O
결제 좀 해주세요,S-PAY O O
결제해주실래요,S-PAY
결제 해주실래요,S-PAY O
결제해,S-PAY
계산해,S-PAY
계산해주실래요,S-PAY
계산 해주실래요,S-PAY O
결제 할게,S-PAY O
계산 할게,S-PAY O
결제할게요,S-PAY
계산할게요,S-PAY
계산하고싶어,S-PAY
계산하고 싶어요,S-PAY O
계산하고 싶어,S-PAY O
계산하면 될까,S-PAY O
결제하면 될까,S-PAY O
결제하고싶어,S-PAY
결제하고 싶어요,S-PAY O
결제하면 될까,S-PAY O
결제 해줄래,S-PAY O
계산 해줄래,S-PAY O
결제할게,S-PAY
계산할게,S-PAY
응 결제할게,O S-PAY
응 계산할게,O S-PAY
아니 계산할게,O S-PAY
아니 결제할게,O S-PAY
결제해주세요,S-PAY
결제 해 주세요,S-PAY O O
결제 해주세요,S-PAY O
계산해주세요,S-PAY
계산 해 주세요,S-PAY O O
계산 해주세요,S-PAY O
계산좀,S-PAY
계산좀요,S-PAY
계산 좀,S-PAY O
계산 좀 해줘요,S-PAY O O
계산 좀 해주세요,S-PAY O O
결제좀,S-PAY
결제좀요,S-PAY
결제 좀 해줘요,S-PAY O O
결제 좀,S-PAY O
결제 좀 해주세요,S-PAY O O
결제해주실래요,S-PAY
결제 해주실래요,S-PAY O
결제해,S-PAY
계산해,S-PAY
계산해주실래요,S-PAY
계산 해주실래요,S-PAY O
결제 할게,S-PAY O
계산 할게,S-PAY O
결제할게요,S-PAY
계산할게요,S-PAY
계산하고싶어,S-PAY
계산하고 싶어요,S-PAY O
계산하고 싶어,S-PAY O
계산하면 될까,S-PAY O
결제하면 될까,S-PAY O
결제하고싶어,S-PAY
결제하고 싶어요,S-PAY O
결제하면 될까,S-PAY O
결제 해줄래,S-PAY O
계산 해줄래,S-PAY O
계산요,S-PAY
계산요,S-PAY
결제요,S-PAY
결제요,S-PAY
계산해줘,S-PAY
계산해줘,S-PAY
결제해줘,S-PAY
결제해줘,S-PAY
계산해줘,S-PAY
결제해줘,S-PAY
계산요,S-PAY
결제요,S-PAY
결제할게요,S-PAY
계산할게요,S-PAY
결제할게,S-PAY
계산할게,S-PAY
사이즈업 되나요,S-SIZE O
사이즈업 되나요,S-SIZE O
둘 다 톨 사이즈로 주세요,B-COUNT E-COUNT B-SIZE E-SIZE O
음료 사이즈 업 가능한가요,O B-SIZE E-SIZE O
사이즈업 되나요,S-SIZE O
사이즈업 되나요,S-SIZE O
사이즈업해서 주세요,S-SIZE O
사이즈는 라지로 부탁드리겠습니다,O S-SIZE O
그란데로 부탁드려요,S-SIZE O
그란데 사이즈로 부탁드립니다,B-SIZE E-SIZE O
라지로 주세요,S-SIZE O
그란데 사이즈로 주세요,B-SIZE E-SIZE O
그러면 사이즈업 가능한가요,O S-SIZE O
그럼 하나는 사이즈 업해주세요,O S-COUNT B-SIZE E-SIZE
사이즈 업 가능한가요,B-SIZE E-SIZE O
사이즈 업 가능한가요,B-SIZE E-SIZE O
라지 사이즈로 주세요,B-SIZE E-SIZE O
그럼 라지 사이즈로 주세요,O B-SIZE E-SIZE O
제일 큰 사이즈로 바꿔주세요,O B-SIZE E-SIZE O
사이즈 업 부탁드려요,B-SIZE E-SIZE O
그럼 톨로 주세요,O S-SIZE O
사이즈업 되나요,S-SIZE O
라지로 주세요,S-SIZE O
작은 걸로 주세요,S-SIZE O O
톨사이즈로 주세요,S-SIZE O
톨사이즈로 주세요,S-SIZE O
숏사이즈로 주세요,S-SIZE O
톨로 주세요,S-SIZE O
그란데 사이즈로 주세요,B-SIZE E-SIZE O
그란데 사이즈로 주십시오,B-SIZE E-SIZE O
그란데 사이즈로 줘요,B-SIZE E-SIZE O
그란데 사이즈로 주세요,B-SIZE E-SIZE O
그란데 사이즈로요,B-SIZE E-SIZE
그란데 사이즈로 주세요,B-SIZE E-SIZE O
그란데 사이즈로 주세요,B-SIZE E-SIZE O
그란데 사이즈로요,B-SIZE E-SIZE
그란데 사이즈로 부탁합니다,B-SIZE E-SIZE O
톨사이즈로 주세요,S-SIZE O
톨사이즈로 주세요,S-SIZE O
톨사이즈로 주세요,S-SIZE O
톨사이즈로 주세요,S-SIZE O
톨사이즈로 주세요,S-SIZE O
톨사이즈로 주세요,S-SIZE O
톨사이즈로 주세요,S-SIZE O
톨사이즈로 주세요,S-SIZE O
그란데 사이즈로 부탁합니다,B-SIZE E-SIZE O
그란데 사이즈로 부탁합니다,B-SIZE E-SIZE O
그란데 사이즈로 주세요,B-SIZE E-SIZE O
그란데로 주세요,S-SIZE O
그란데로 주세요,S-SIZE O
그란데로 주세요,S-SIZE O
톨 사이즈로 주세요,B-SIZE E-SIZE O
톨로 주세요,S-SIZE O
톨사이즈로 부탁합니다,S-SIZE O
톨사이즈로 부탁합니다,S-SIZE O
톨로 주세요,S-SIZE O
톨로 주세요,S-SIZE O
톨사이즈로 부탁합니다,S-SIZE O
사이즈업 되나요,S-SIZE O
사이즈업 되나요,S-SIZE O
사이즈업 해주세요,S-SIZE O
사이즈업 해주세요,S-SIZE O
라지 사이즈로 주세요,B-SIZE E-SIZE O
라지 사이즈로 주세요,B-SIZE E-SIZE O
라지 사이즈로 주세요,B-SIZE E-SIZE O
라지 사이즈로 주세요,B-SIZE E-SIZE O
라지 사이즈로 주세요,B-SIZE E-SIZE O
라지 사이즈로요,B-SIZE E-SIZE
라지 사이즈로요,B-SIZE E-SIZE
라지 사이즈로요,B-SIZE E-SIZE
라지 사이즈로요,B-SIZE E-SIZE
그란데,S-SIZE
그란데,S-SIZE
톨,S-SIZE
톨,S-SIZE
라지,S-SIZE
라지,S-SIZE
그란데로요,S-SIZE
그란데로요,S-SIZE
그란데로요,S-SIZE
톨로요,S-SIZE
톨로요,S-SIZE
톨로요,S-SIZE
라지로요,S-SIZE
라지로요,S-SIZE
라지로요,S-SIZE
사이즈업 하겠습니다,S-SIZE O
사이즈업 할게요,S-SIZE O
사이즈업 하겠습니다,S-SIZE O
사이즈업 할게요,S-SIZE O
작은거로요,S-SIZE
작은 사이즈로 해주세요,B-SIZE E-SIZE O
작은 사이즈로 부탁해요,B-SIZE E-SIZE O
작은거로요,S-SIZE
작은 사이즈요,B-SIZE E-SIZE
작은걸로 주세요,S-SIZE O
작은거로 할게요,S-SIZE O
레귤러로 할게요,S-SIZE O
레귤러요,S-SIZE
작은사이즈요,S-SIZE
레귤러 사이즈로 해주세요,B-SIZE E-SIZE O
레귤러 사이즈로 부탁해요,B-SIZE E-SIZE O
레귤러로 부탁드려요,S-SIZE O
레귤러 사이즈로 주세요,B-SIZE E-SIZE O
레귤러로 주세요,S-SIZE O
작은거로 해주세요,S-SIZE O
작은 사이즈 부탁드려요,B-SIZE E-SIZE O
작은걸로요,S-SIZE
레귤러로 할게요,S-SIZE O
레귤러요,S-SIZE
레귤러 사이즈로 해주세요,B-SIZE E-SIZE O
레귤러 사이즈로 부탁해요,B-SIZE E-SIZE O
레귤러로 부탁드려요,S-SIZE O
레귤러 사이즈로 주세요,B-SIZE E-SIZE O
레귤러로 주세요,S-SIZE O
작은 사이즈로 주세요,B-SIZE E-SIZE O
작은걸로요,S-SIZE
작은거요,S-SIZE
레귤러로 할게요,S-SIZE O
레귤러요,S-SIZE
레귤러 사이즈로 해주세요,B-SIZE E-SIZE O
레귤러 사이즈로 부탁해요,B-SIZE E-SIZE O
레귤러로 부탁드려요,S-SIZE O
레귤러 사이즈로 주세요,B-SIZE E-SIZE O
레귤러로 주세요,S-SIZE O
네 라지하고 사이즈가 어느 정도 차이나요,O S-SIZE O O O O
작은 사이즈 나왔으면 좋겠습니다,B-SIZE E-SIZE O O
그란데 사이즈로 주세요,B-SIZE E-SIZE O
그란데 사이즈로 부탁드릴게요,B-SIZE E-SIZE O
톨 사이즈로 해주세요,B-SIZE E-SIZE O
라지 사이즈로 주세요,B-SIZE E-SIZE O
저는 톨 사이즈로 먹습니다,O B-SIZE E-SIZE O
가장 작은 사이즈 주세요,O B-SIZE E-SIZE O
작은 사이즈로 주세요,B-SIZE E-SIZE O
그란데 사이즈요,B-SIZE E-SIZE
톨 사이즈로 주세요,B-SIZE E-SIZE O
작은 사이즈로 주세요,B-SIZE E-SIZE O
그란데로 주세요,S-SIZE O
그란데 사이즈로 주세요,B-SIZE E-SIZE O
레귤러로 부탁드립니다,S-SIZE O
톨 사이즈로 주세요,B-SIZE E-SIZE O
전부 라지로 주세요,O S-SIZE O
톨로 주세요,S-SIZE O
제일 큰 거로 주세요,O S-SIZE O O
네 따뜻한 걸로 주세요,O S-TEMP O O
네 톨사이즈로 주세요,O S-SIZE O
레귤러로 주세요,S-SIZE O
톨 사이즈로 주세요,B-SIZE E-SIZE O
작은 사이즈로 주세요,B-SIZE E-SIZE O
그란데로,S-SIZE
톨로,S-SIZE
라지로,S-SIZE
레귤러로,S-SIZE
라지로,S-SIZE
작은걸로,S-SIZE
작은거로,S-SIZE
작은걸로요,S-SIZE
작은걸로 해주세요,S-SIZE O
작은거로 해주세요,S-SIZE O
작은걸로 해줘요,S-SIZE O
작은걸로 부탁해요,S-SIZE O
그란데로,S-SIZE
톨로,S-SIZE
큰걸로요,S-SIZE
큰걸로 주세요,S-SIZE O
큰걸로 할게요,S-SIZE O
큰걸로,S-SIZE
큰거로,S-SIZE
큰거로 주세요,S-SIZE O
큰거로 할게요,S-SIZE O
큰거로 부탁드려요,S-SIZE O
큰걸로 부탁드려요,S-SIZE O
더 큰거로 주세요,B-SIZE E-SIZE O
가장 큰거로 주세요,O S-SIZE O
가장 큰걸로 주세요,O S-SIZE O
가장 큰 거로 주세요,O S-SIZE O O
가장 큰 거로 할게요,O S-SIZE O O
가장 큰걸로 부탁드려요,O S-SIZE O
가장 큰걸로 부탁드려요,O S-SIZE O
작은사이즈 주세요,S-SIZE O
작은사이즈로 바꿔주세요,S-SIZE O
작은사이즈로요,S-SIZE
작은사이즈 해주세요,S-SIZE O
작은사이즈로,S-SIZE
작은사이즈 부탁합니다,S-SIZE O
작은사이즈로 해주실래요,S-SIZE O
작은사이즈 부탁드립니다,S-SIZE O
작은사이즈요,S-SIZE
큰사이즈 주세요,S-SIZE O
큰사이즈로 바꿔주세요,S-SIZE O
큰사이즈로요,S-SIZE
큰사이즈 해주세요,S-SIZE O
큰사이즈로,S-SIZE
큰사이즈 부탁합니다,S-SIZE O
큰사이즈로 해주실래요,S-SIZE O
큰사이즈 부탁드립니다,S-SIZE O
큰사이즈요,S-SIZE
큰사이즈 주세요,S-SIZE O
큰사이즈로 바꿔주세요,S-SIZE O
큰사이즈로요,S-SIZE
큰사이즈 해주세요,S-SIZE O
큰사이즈로,S-SIZE
큰사이즈 부탁합니다,S-SIZE O
큰사이즈로 해주실래요,S-SIZE O
큰사이즈 부탁드립니다,S-SIZE O
큰사이즈요,S-SIZE
큰사이즈 주세요,S-SIZE O
큰사이즈로 바꿔주세요,S-SIZE O
큰사이즈로요,S-SIZE
큰사이즈 해주세요,S-SIZE O
큰사이즈로,S-SIZE
큰사이즈 부탁합니다,S-SIZE O
큰사이즈로 해주실래요,S-SIZE O
큰사이즈 부탁드립니다,S-SIZE O
큰사이즈요,S-SIZE
큰 사이즈 주세요,B-SIZE E-SIZE O
큰 사이즈로 바꿔주세요,B-SIZE E-SIZE O
큰 사이즈로요,B-SIZE E-SIZE
큰 사이즈 해주세요,B-SIZE E-SIZE O
큰 사이즈로,B-SIZE E-SIZE
큰 사이즈 부탁합니다,B-SIZE E-SIZE O
큰 사이즈로 해주실래요,B-SIZE E-SIZE O
큰 사이즈 부탁드립니다,B-SIZE E-SIZE O
큰 사이즈요,B-SIZE E-SIZE
작은거로요,S-SIZE
큰거로요,S-SIZE
큰거로요,S-SIZE
큰거로,S-SIZE
큰거로 해주세요,S-SIZE O
큰거로 주세요,S-SIZE O
큰거로 부탁해요,S-SIZE O
큰거로요,S-SIZE
큰 사이즈로 해주세요,B-SIZE E-SIZE O
큰 사이즈로 주세요,B-SIZE E-SIZE O
작은 사이즈로 주세요,B-SIZE E-SIZE O
큰사이즈로 주세요,S-SIZE O
큰사이즈로,S-SIZE
큰사이즈요,S-SIZE
큰 사이즈 주세요,B-SIZE E-SIZE O
큰 사이즈로 바꿔주세요,B-SIZE E-SIZE O
큰 사이즈로요,B-SIZE E-SIZE
큰 사이즈 해주세요,B-SIZE E-SIZE O
큰 사이즈로,B-SIZE E-SIZE
큰 사이즈 부탁합니다,B-SIZE E-SIZE O
큰 사이즈로 해주실래요,B-SIZE E-SIZE O
큰 사이즈 부탁드립니다,B-SIZE E-SIZE O
큰 사이즈요,B-SIZE E-SIZE
스몰사이즈요,S-SIZE
스몰사이즈,S-SIZE
스몰사이즈 부탁해요,S-SIZE O
스몰 사이즈로 해주세요,S-SIZE O O
스몰 사이즈요,S-SIZE O
스몰 사이즈,S-SIZE O
스몰 사이즈 주세요,S-SIZE O O
스몰사이즈 주세요,S-SIZE O
스몰사이즈로 해주세요,S-SIZE O
스몰사이즈로 해주실래요,S-SIZE O
라지사이즈요,S-SIZE
라지 사이즈로 주세요,B-SIZE E-SIZE O
라지사이즈,S-SIZE
라지사이즈 주세요,S-SIZE O
라지사이즈로 주세요,S-SIZE O
라지 사이즈로 주세요,B-SIZE E-SIZE O
라지 사이즈 부탁드려요,B-SIZE E-SIZE O
라지 사이즈로 해주실래요,B-SIZE E-SIZE O
라지 사이즈로 부탁드립니다,B-SIZE E-SIZE O
라지사이즈 부탁해요,S-SIZE O
라지사이즈 주세요,S-SIZE O
라지사이즈 주세요,S-SIZE O
스몰사이즈요,S-SIZE
스몰사이즈,S-SIZE
스몰사이즈 부탁해요,S-SIZE O
스몰 사이즈로 해주세요,S-SIZE O O
스몰 사이즈요,S-SIZE O
스몰 사이즈,S-SIZE O
스몰 사이즈 주세요,S-SIZE O O
스몰사이즈 주세요,S-SIZE O
스몰사이즈로 해주세요,S-SIZE O
스몰사이즈로 해주실래요,S-SIZE O
라지사이즈요,S-SIZE
라지 사이즈로 주세요,B-SIZE E-SIZE O
라지사이즈,S-SIZE
라지사이즈 주세요,S-SIZE O
라지사이즈로 주세요,S-SIZE O
라지 사이즈로 주세요,B-SIZE E-SIZE O
라지 사이즈 부탁드려요,B-SIZE E-SIZE O
라지 사이즈로 해주실래요,B-SIZE E-SIZE O
라지 사이즈로 부탁드립니다,B-SIZE E-SIZE O
라지사이즈 부탁해요,S-SIZE O
라지사이즈 주세요,S-SIZE O
라지사이즈 주세요,S-SIZE O
아이스로요,S-TEMP
아이스로 하겠습니다,S-TEMP O
아이스로 해주세요,S-TEMP O
따뜻한걸로요,S-TEMP
따뜻하게요,S-TEMP
뜨겁게요,S-TEMP
뜨겁게 부탁합니다,S-TEMP O
뜨거운걸로요,S-TEMP
따뜻한걸로요,S-TEMP
아이스로 해주세요,S-TEMP O
아이스로요,S-TEMP
아이스로 하겠습니다,S-TEMP O
아이스로 해주세요,S-TEMP O
따뜻한걸로요,S-TEMP
따뜻하게요,S-TEMP
뜨겁게요,S-TEMP
뜨겁게 부탁합니다,S-TEMP O
뜨거운걸로요,S-TEMP
따뜻한걸로요,S-TEMP
아이스로 해주세요,S-TEMP O
아이스로요,S-TEMP
아이스로 하겠습니다,S-TEMP O
아이스로 해주세요,S-TEMP O
따뜻한걸로요,S-TEMP
따뜻하게요,S-TEMP
뜨겁게요,S-TEMP
뜨겁게 부탁합니다,S-TEMP O
뜨거운걸로요,S-TEMP
따뜻한걸로요,S-TEMP
아이스로 해주세요,S-TEMP O
시원한걸로요,S-TEMP
시원하게요,S-TEMP
시원하게 해주세요,S-TEMP O
시원한거요,S-TEMP
시원한걸로 부탁해요,S-TEMP O
시원하게 낫겠어요,S-TEMP O
시원한게 좋겠네요,S-TEMP O
시원한걸로 할래요,S-TEMP O
시원한걸로,S-TEMP
시원한거 주세요,S-TEMP O
찬걸로요,S-TEMP
차가운걸로요,S-TEMP
차가운거 부탁드려요,S-TEMP O
차가운거 주세요,S-TEMP O
찬거로 할게요,S-TEMP O
차가운게 낫겠네요,S-TEMP O
차가운게 좋겠어요,S-TEMP O
차가운거로 부탁해요,S-TEMP O
차갑게 해주세요,S-TEMP O
차갑게 해주세요,S-TEMP O
차가운걸로요,S-TEMP
차가운거요,S-TEMP
시원한걸로요,S-TEMP
시원하게요,S-TEMP
시원하게 해주세요,S-TEMP O
시원한거요,S-TEMP
시원한걸로 부탁해요,S-TEMP O
시원하게 낫겠어요,S-TEMP O
시원한게 좋겠네요,S-TEMP O
시원한걸로 할래요,S-TEMP O
시원한걸로,S-TEMP
시원한거 주세요,S-TEMP O
찬걸로요,S-TEMP
차가운걸로요,S-TEMP
차가운거 부탁드려요,S-TEMP O
차가운거 주세요,S-TEMP O
찬거로 할게요,S-TEMP O
차가운게 낫겠네요,S-TEMP O
차가운게 좋겠어요,S-TEMP O
차가운거로 부탁해요,S-TEMP O
차갑게 해주세요,S-TEMP O
차갑게 해주세요,S-TEMP O
차가운걸로요,S-TEMP
차가운거요,S-TEMP
시원한걸로요,S-TEMP
시원하게요,S-TEMP
시원하게 해주세요,S-TEMP O
시원한거요,S-TEMP
시원한걸로 부탁해요,S-TEMP O
시원하게 낫겠어요,S-TEMP O
시원한게 좋겠네요,S-TEMP O
시원한걸로 할래요,S-TEMP O
시원한걸로,S-TEMP
시원한거 주세요,S-TEMP O
찬걸로요,S-TEMP
차가운걸로요,S-TEMP
차가운거 부탁드려요,S-TEMP O
차가운거 주세요,S-TEMP O
찬거로 할게요,S-TEMP O
차가운게 낫겠네요,S-TEMP O
차가운게 좋겠어요,S-TEMP O
차가운거로 부탁해요,S-TEMP O
차갑게 해주세요,S-TEMP O
차갑게 해주세요,S-TEMP O
차가운걸로요,S-TEMP
차가운거요,S-TEMP
시원한걸로요,S-TEMP
시원하게요,S-TEMP
시원하게 해주세요,S-TEMP O
시원한거요,S-TEMP
시원한걸로 부탁해요,S-TEMP O
시원하게 낫겠어요,S-TEMP O
시원한게 좋겠네요,S-TEMP O
시원한걸로 할래요,S-TEMP O
시원한걸로,S-TEMP
시원한거 주세요,S-TEMP O
찬걸로요,S-TEMP
차가운걸로요,S-TEMP
차가운거 부탁드려요,S-TEMP O
차가운거 주세요,S-TEMP O
차갑게 할 수 있나요,S-TEMP O O O
따뜻하게 되나요,S-TEMP O
음료 온도를 좀 더 차갑게 가능할까요,O O O O S-TEMP O
따뜻한 온도로 데워주실 수 있어요,S-TEMP O O O O
차갑게도 가능한가요,S-TEMP O
좀 더 뜨겁게 해 주실 수 있나요,O O S-TEMP O O O O
이 날씨에 차가운 거 먹어요,O O S-TEMP O O
미지근하게 되나요,O O
라지로 따뜻하게 가능한가요,S-SIZE S-TEMP O
뜨겁지 않게 해주실 수 있나요,S-TEMP O O O O
그럼 아이스로는 되나요,O S-TEMP O
시원한 걸로 해주세요,S-TEMP O O
그럼 아이스로 한잔 주세요,O S-TEMP S-COUNT O
네 따뜻하게 해주실 수 있나요,O S-TEMP O O O
따듯하게 해도 되나요,S-TEMP O O
너무 뜨겁지 않게 한 잔 주시겠어요,O S-TEMP O B-COUNT E-COUNT O
아이스로 주세요,S-TEMP O
아이스로 부탁해요,S-TEMP O
아이스로 해주세요,S-TEMP O
차갑게 주세요,S-TEMP O
차갑게 부탁해요,S-TEMP O
차갑게 해주세요,S-TEMP O
차가운 걸로 주세요,S-TEMP O O
아이스로요,S-TEMP
핫으로요,S-TEMP
아이스로 주세요,S-TEMP O
네 따뜻한 걸로 주세요,O S-TEMP O O
따뜻하게 부탁드릴게요,S-TEMP O
아이스로 부탁드려요,S-TEMP O
뜨거운 걸로 주세요,S-TEMP O O
아이스로 하나 주세요,S-TEMP S-COUNT O
아이스로 주세요,S-TEMP O
아이스로 주세요,S-TEMP O
아이스로 해주세요,S-TEMP O
따뜻한 걸로 주세요,S-TEMP O O
차가운 걸로 주세요,S-TEMP O O
네 시원한걸로요,O S-TEMP
시원한걸로 주세요,S-TEMP O
시원한거 주세요,S-TEMP O
시원한거로 하나 주세요,S-TEMP S-COUNT O
시원한거로 부탁드려요,S-TEMP O
시원하게 해주세요,S-TEMP O
시원하게 부탁해요,S-TEMP O
시원하게 주세요,S-TEMP O
네 따뜻하게 해주세요,O S-TEMP O
따뜻한 거요,S-TEMP O
네 따뜻한 걸로 주세요,O S-TEMP O O
네 따뜻한 걸로 주세요,O S-TEMP O O
네 따뜻한 걸로 주세요,O S-TEMP O O
네 따뜻한 걸로요,O S-TEMP O
네 따뜻한 걸로 주세요,O S-TEMP O O
네 따뜻한 걸로 주세요,O S-TEMP O O
네 따뜻한 걸로 주세요,O S-TEMP O O
네 따뜻한 걸로 주세요,O S-TEMP O O
네 따뜻한 걸로 주세요,O S-TEMP O O
네 따뜻한거 주세요,O S-TEMP O
따뜻한 걸로 주세요,S-TEMP O O
네 따뜻하게 주세요,O S-TEMP O
네 따뜻한 걸로 주세요,O S-TEMP O O
네 따뜻한 걸로,O S-TEMP O
시원한 걸로 주세요,S-TEMP O O
네 따뜻하게 해주세요,O S-TEMP O
아이스로 주세요,S-TEMP O
따뜻한걸로 주세요,S-TEMP O
따뜻한걸로 주세요,S-TEMP O
네 따뜻하게 해주세요,O S-TEMP O
따뜻하게 해주세요,S-TEMP O
아니요 아이스요,O S-TEMP
네 따뜻한 거 주세요,O S-TEMP O O
네 따뜻한 거로 주세요,O S-TEMP O O
네 따뜻하게 해주세요,O S-TEMP O
아니요 시원한거요,O S-TEMP
네 따뜻한거 주세요,O S-TEMP O
아이스로 주세요,S-TEMP O
네 따뜻하게요,O S-TEMP
네 따뜻한 걸로요,O S-TEMP O
따뜻하게 주세요,S-TEMP O
네 따뜻한 걸로요,O S-TEMP O
네 따뜻한 걸로 주세요,O S-TEMP O O
네 따뜻한 걸로 주세요,O S-TEMP O O
네 따뜻한 걸로 주세요,O S-TEMP O O
따뜻하게 주세요,S-TEMP O
네 따뜻하게 주세요,O S-TEMP O
네 따뜻한 걸로,O S-TEMP O
네 따뜻하게 주세요,O S-TEMP O
네 따뜻한 걸로 주세요,O S-TEMP O O
시원한거로 해줘,S-TEMP O
차가운거로 해줘,S-TEMP O
뜨거운거로 해줘,S-TEMP O
시원한거로 해줘,S-TEMP O
차가운거로 해줘,S-TEMP O
뜨거운거로 해줘,S-TEMP O
시원한거로 해주세요,S-TEMP O
차가운거로 해주세요,S-TEMP O
뜨거운거로 해주세요,S-TEMP O
시원한거로 부탁해요,S-TEMP O
차가운거로 부탁해요,S-TEMP O
뜨거운거로 부탁해요,S-TEMP O
시원한거로,S-TEMP
차가운거로,S-TEMP
뜨거운거로,S-TEMP
시원한거로 해줄래,S-TEMP O
차가운거로 해줄래,S-TEMP O
뜨거운거로 해줄래,S-TEMP O
시원한거로 해줘요,S-TEMP O
차가운거로 해줘요,S-TEMP O
뜨거운거로 해줘요,S-TEMP O
시원한거로 해줄래요,S-TEMP O
차가운거로 해줄래요,S-TEMP O
뜨거운거로 해줄래요,S-TEMP O
시원한거로 부탁합니다,S-TEMP O
차가운거로 부탁합니다,S-TEMP O
뜨거운거로 부탁합니다,S-TEMP O
찬거로,S-TEMP
차운거로,S-TEMP
차운거로 해줘,S-TEMP O
차운거 부탁해요,S-TEMP O
차운거 해주세요,S-TEMP O
찬거로 해주세요,S-TEMP O
찬거로 해줘요,S-TEMP O
따뜻한거로,S-TEMP
따뜻한거로 해줘요,S-TEMP O
따뜻한거로 부탁해요,S-TEMP O
따뜻한거요,S-TEMP
따뜻한게 낫겠어요,S-TEMP O
따뜻한거로 해주세요,S-TEMP O
뜨거운걸로 해주세요,S-TEMP O
아니다 뜨거운걸로요,O S-TEMP
아니다 차가운걸로요,O S-TEMP
아니다 따뜻한걸로요,O S-TEMP
아니다 시원한걸로요,O S-TEMP
뜨거운걸로 해줘요,S-TEMP O
뜨거운걸로요,S-TEMP
뜨거운걸로 부탁드려요,S-TEMP O
뜨거운걸로 부탁해요,S-TEMP O
뜨거운걸로 부탁드립니다,S-TEMP O
뜨거운걸로 바꿀게요,S-TEMP O
뜨거운걸로 할게요,S-TEMP O
그럼 뜨거운걸로 주세요,O S-TEMP O
뜨거운걸로 해주세요,S-TEMP O
아니다 뜨거운걸로요,O S-TEMP
아니다 차가운걸로요,O S-TEMP
아니다 따뜻한걸로요,O S-TEMP
아니다 시원한걸로요,O S-TEMP
뜨거운걸로 해줘요,S-TEMP O
뜨거운걸로요,S-TEMP
뜨거운걸로 부탁드려요,S-TEMP O
뜨거운걸로 부탁해요,S-TEMP O
뜨거운걸로 부탁드립니다,S-TEMP O
